"","datetimeAK","discharge","depth"
"1",2021-05-18 12:00:00,144.982016,1.335024
"2",2021-05-18 12:15:00,144.41568,1.331976
"3",2021-05-18 12:30:00,142.716672,1.322832
"4",2021-05-18 12:45:00,143.849344,1.328928
"5",2021-05-18 13:00:00,142.716672,1.322832
"6",2021-05-18 13:15:00,143.283008,1.32588
"7",2021-05-18 13:30:00,143.283008,1.32588
"8",2021-05-18 13:45:00,143.849344,1.328928
"9",2021-05-18 14:00:00,143.849344,1.328928
"10",2021-05-18 14:15:00,143.849344,1.328928
"11",2021-05-18 14:30:00,143.283008,1.32588
"12",2021-05-18 14:45:00,145.548352,1.338072
"13",2021-05-18 15:00:00,143.849344,1.328928
"14",2021-05-18 15:15:00,143.283008,1.32588
"15",2021-05-18 15:30:00,143.849344,1.328928
"16",2021-05-18 15:45:00,144.41568,1.331976
"17",2021-05-18 16:00:00,144.41568,1.331976
"18",2021-05-18 16:15:00,143.849344,1.328928
"19",2021-05-18 16:30:00,144.41568,1.331976
"20",2021-05-18 16:45:00,144.41568,1.331976
"21",2021-05-18 17:00:00,144.982016,1.335024
"22",2021-05-18 17:15:00,146.114688,1.34112
"23",2021-05-18 17:30:00,144.982016,1.335024
"24",2021-05-18 17:45:00,145.548352,1.338072
"25",2021-05-18 18:00:00,147.24736,1.347216
"26",2021-05-18 18:15:00,145.548352,1.338072
"27",2021-05-18 18:30:00,145.548352,1.338072
"28",2021-05-18 18:45:00,144.982016,1.335024
"29",2021-05-18 19:00:00,146.681024,1.344168
"30",2021-05-18 19:15:00,147.24736,1.347216
"31",2021-05-18 19:30:00,147.24736,1.347216
"32",2021-05-18 19:45:00,147.813696,1.350264
"33",2021-05-18 20:00:00,147.24736,1.347216
"34",2021-05-18 20:15:00,147.813696,1.350264
"35",2021-05-18 20:30:00,147.813696,1.350264
"36",2021-05-18 20:45:00,148.380032,1.353312
"37",2021-05-18 21:00:00,147.24736,1.347216
"38",2021-05-18 21:15:00,148.380032,1.353312
"39",2021-05-18 21:30:00,148.380032,1.353312
"40",2021-05-18 21:45:00,148.946368,1.35636
"41",2021-05-18 22:00:00,148.946368,1.35636
