"","datetimeAK","ODO.Psat.mn.adj","ODO.mgL.mn","Temp.C.int"
"1","2021-05-18 12:00:00",94.09,11.89,5.3781
"2","2021-05-18 12:15:00",94.0272727272727,11.8881818181818,5.39127272727273
"3","2021-05-18 12:30:00",94.2545454545455,11.88,5.49654545454545
"4","2021-05-18 12:45:00",94.4636363636364,11.8845454545455,5.56745454545455
"5","2021-05-18 13:00:00",94.4909090909091,11.8754545454545,5.60927272727273
"6","2021-05-18 13:15:00",94.6,11.8672727272727,5.68172727272727
"7","2021-05-18 13:30:00",94.7272727272727,11.8672727272727,5.73518181818182
"8","2021-05-18 13:45:00",94.8181818181818,11.8618181818182,5.79327272727273
"9","2021-05-18 14:00:00",94.8,11.8545454545455,5.805
"10","2021-05-18 14:15:00",95.0090909090909,11.85,5.91790909090909
"11","2021-05-18 14:30:00",95.2,11.85,5.98654545454546
"12","2021-05-18 14:45:00",95.3,11.85,6.04245454545455
"13","2021-05-18 15:00:00",95.3363636363636,11.8390909090909,6.09009090909091
"14","2021-05-18 15:15:00",95.2,11.83,6.07572727272727
"15","2021-05-18 15:30:00",95.3,11.8272727272727,6.115
"16","2021-05-18 15:45:00",95.4,11.8172727272727,6.18536363636364
"17","2021-05-18 16:00:00",95.5,11.8036363636364,6.26845454545455
"18","2021-05-18 16:15:00",95.6,11.79,6.36109090909091
"19","2021-05-18 16:30:00",95.7545454545455,11.7781818181818,6.462
"20","2021-05-18 16:45:00",95.8,11.7636363636364,6.52590909090909
"21","2021-05-18 17:00:00",95.8,11.7518181818182,6.555
"22","2021-05-18 17:15:00",95.8,11.74,6.594
"23","2021-05-18 17:30:00",95.9,11.73,6.69718181818182
"24","2021-05-18 17:45:00",96,11.72,6.767
"25","2021-05-18 18:00:00",96.1,11.71,6.84090909090909
"26","2021-05-18 18:15:00",96.0909090909091,11.7,6.863
"27","2021-05-18 18:30:00",96.1454545454545,11.7063636363636,6.87
"28","2021-05-18 18:45:00",96.0636363636364,11.6981818181818,6.86281818181818
"29","2021-05-18 19:00:00",96,11.6954545454545,6.857
"30","2021-05-18 19:15:00",95.9,11.6836363636364,6.851
"31","2021-05-18 19:30:00",95.8090909090909,11.6745454545455,6.845
"32","2021-05-18 19:45:00",95.8,11.67,6.842
"33","2021-05-18 20:00:00",95.7,11.6563636363636,6.84236363636364
"34","2021-05-18 20:15:00",95.6,11.65,6.848
"35","2021-05-18 20:30:00",95.6454545454545,11.65,6.857
"36","2021-05-18 20:45:00",95.5454545454545,11.6345454545455,6.862
"37","2021-05-18 21:00:00",95.5636363636364,11.6354545454545,6.86718181818182
"38","2021-05-18 21:15:00",95.5,11.6245454545455,6.874
"39","2021-05-18 21:30:00",95.4636363636364,11.62,6.879
"40","2021-05-18 21:45:00",95.4,11.6154545454545,6.878
"41","2021-05-18 22:00:00",95.3,11.6063636363636,6.869
"42","2021-05-18 22:15:00",95.2727272727273,11.6036363636364,6.849
"43","2021-05-18 22:30:00",95.2,11.6072727272727,6.822
"44","2021-05-18 22:45:00",95.1727272727273,11.61,6.79181818181818
"45","2021-05-18 23:00:00",95.0727272727273,11.6063636363636,6.75672727272727
"46","2021-05-18 23:15:00",95,11.6,6.724
"47","2021-05-18 23:30:00",94.8,11.6,6.688
"48","2021-05-18 23:45:00",94.8454545454545,11.61,6.65090909090909
"49","2021-05-19 00:00:00",94.7454545454545,11.61,6.61563636363636
"50","2021-05-19 00:15:00",94.6,11.6,6.57736363636364
"51","2021-05-19 00:30:00",94.5090909090909,11.6018181818182,6.539
"52","2021-05-19 00:45:00",94.5,11.61,6.50009090909091
"53","2021-05-19 01:00:00",94.4,11.6118181818182,6.45545454545455
"54","2021-05-19 01:15:00",94.3454545454545,11.62,6.407
"55","2021-05-19 01:30:00",94.3,11.63,6.35309090909091
"56","2021-05-19 01:45:00",94.2,11.6318181818182,6.29309090909091
"57","2021-05-19 02:00:00",94.1454545454545,11.6454545454545,6.238
"58","2021-05-19 02:15:00",94.1,11.6554545454545,6.174
"59","2021-05-19 02:30:00",94.0181818181818,11.67,6.11172727272727
"60","2021-05-19 02:45:00",94,11.68,6.05290909090909
"61","2021-05-19 03:00:00",93.9,11.69,5.98990909090909
"62","2021-05-19 03:15:00",93.8,11.6936363636364,5.92936363636364
"63","2021-05-19 03:30:00",93.7272727272727,11.7027272727273,5.868
"64","2021-05-19 03:45:00",93.6272727272727,11.71,5.81463636363636
"65","2021-05-19 04:00:00",93.6,11.7136363636364,5.76090909090909
"66","2021-05-19 04:15:00",93.5545454545454,11.7290909090909,5.71045454545455
"67","2021-05-19 04:30:00",93.5,11.7354545454545,5.666
"68","2021-05-19 04:45:00",93.4181818181818,11.74,5.62318181818182
"69","2021-05-19 05:00:00",93.3,11.7381818181818,5.589
"70","2021-05-19 05:15:00",93.3363636363636,11.7481818181818,5.56
"71","2021-05-19 05:30:00",93.2818181818182,11.7454545454545,5.537
"72","2021-05-19 05:45:00",93.2636363636364,11.7490909090909,5.51881818181818
"73","2021-05-19 06:00:00",93.1636363636364,11.74,5.50409090909091
"74","2021-05-19 06:15:00",93.1,11.7336363636364,5.495
"75","2021-05-19 06:30:00",93.1,11.74,5.487
"76","2021-05-19 06:45:00",93.1,11.74,5.484
"77","2021-05-19 07:00:00",93.1,11.7354545454545,5.49
"78","2021-05-19 07:15:00",93.0727272727273,11.73,5.49918181818182
"79","2021-05-19 07:30:00",93.1,11.73,5.51154545454545
"80","2021-05-19 07:45:00",93.1,11.7290909090909,5.52118181818182
"81","2021-05-19 08:00:00",93.1545454545455,11.73,5.53609090909091
"82","2021-05-19 08:15:00",93.1,11.72,5.55
"83","2021-05-19 08:30:00",93.1545454545455,11.72,5.57445454545455
"84","2021-05-19 08:45:00",93.2,11.71,5.60763636363636
"85","2021-05-19 09:00:00",93.3,11.7172727272727,5.63363636363636
"86","2021-05-19 09:15:00",93.3,11.71,5.66563636363636
"87","2021-05-19 09:30:00",93.4,11.7118181818182,5.69727272727273
"88","2021-05-19 09:45:00",93.4727272727273,11.7090909090909,5.74081818181818
"89","2021-05-19 10:00:00",93.5272727272727,11.7063636363636,5.77581818181818
"90","2021-05-19 10:15:00",93.6,11.7,5.81972727272727
"91","2021-05-19 10:30:00",93.7,11.7009090909091,5.86245454545455
"92","2021-05-19 10:45:00",93.9,11.71,5.90863636363636
"93","2021-05-19 11:00:00",94,11.7072727272727,5.965
"94","2021-05-19 11:15:00",94.0909090909091,11.7090909090909,6.01795454545455
"95","2021-05-19 11:30:00",94.2,11.71,6.07090909090909
"96","2021-05-19 11:45:00",94.3,11.7,6.11554545454545
"97","2021-05-19 12:00:00",94.4,11.7,6.16927272727273
"98","2021-05-19 12:15:00",94.5454545454545,11.6963636363636,6.23281818181818
"99","2021-05-19 12:30:00",94.6818181818182,11.6890909090909,6.30736363636364
"100","2021-05-19 12:45:00",94.8,11.68,6.39127272727273
"101","2021-05-19 13:00:00",94.9272727272727,11.6727272727273,6.476
"102","2021-05-19 13:15:00",95.1,11.67,6.55772727272727
"103","2021-05-19 13:30:00",95.3,11.6745454545455,6.63940909090909
"104","2021-05-19 13:45:00",95.4,11.66,6.72109090909091
"105","2021-05-19 14:00:00",95.6,11.6536363636364,6.81163636363636
"106","2021-05-19 14:15:00",95.6727272727273,11.64,6.89018181818182
"107","2021-05-19 14:30:00",95.8,11.6345454545455,6.96254545454546
"108","2021-05-19 14:45:00",95.9,11.6309090909091,7.03181818181818
"109","2021-05-19 15:00:00",95.8,11.6118181818182,7.04954545454545
"110","2021-05-19 15:15:00",95.9,11.6,7.12163636363636
"111","2021-05-19 15:30:00",96,11.5981818181818,7.18781818181818
"112","2021-05-19 15:45:00",96.0363636363636,11.5890909090909,7.23563636363636
"113","2021-05-19 16:00:00",96.2,11.58,7.32318181818182
