"","datetimeAK","dateTime","agency_cd.x","site_no.x","discharge","X_00060_00000_cd","tz_cd.x","agency_cd.y","site_no.y","depth","X_00065_00000_cd","tz_cd.y"
"1",2022-05-03 11:15:00,2022-05-03 19:15:00,"USGS","15484000",95.7100382273821,"A e","UTC","USGS","15484000",2.761488,"A","UTC"
"2",2022-05-03 23:15:00,2022-05-04 07:15:00,"USGS","15484000",106.470338383123,"A e","UTC","USGS","15484000",2.877312,"A","UTC"
"3",2022-05-04 11:15:00,2022-05-04 19:15:00,"USGS","15484000",114.682146396715,"A e","UTC","USGS","15484000",2.913888,"A","UTC"
"4",2022-05-04 23:15:00,2022-05-05 07:15:00,"USGS","15484000",118.929633300297,"A e","UTC","USGS","15484000",2.731008,"A","UTC"
"5",2022-05-05 11:15:00,2022-05-05 19:15:00,"USGS","15484000",126.858275520317,"A e","UTC","USGS","15484000",2.801112,"A","UTC"
"6",2022-05-05 23:15:00,2022-05-06 07:15:00,"USGS","15484000",132.52159139176,"A e","UTC","USGS","15484000",2.916936,"A","UTC"
"7",2022-05-06 11:15:00,2022-05-06 19:15:00,"USGS","15484000",141.582896786068,"A e","UTC","USGS","15484000",2.852928,"A","UTC"
"8",2022-05-06 23:15:00,2022-05-07 07:15:00,"USGS","15484000",158.856010193969,"A e","UTC","USGS","15484000",3.115056,"A","UTC"
"9",2022-05-07 01:45:00,2022-05-07 09:45:00,"USGS","15484000",159.422341781113,"A","UTC","USGS","15484000",2.904744,"A","UTC"
"10",2022-05-07 02:00:00,2022-05-07 10:00:00,"USGS","15484000",160.555004955401,"A","UTC","USGS","15484000",2.91084,"A","UTC"
"11",2022-05-07 02:15:00,2022-05-07 10:15:00,"USGS","15484000",161.68766812969,"A","UTC","USGS","15484000",2.916936,"A","UTC"
"12",2022-05-07 02:30:00,2022-05-07 10:30:00,"USGS","15484000",160.555004955401,"A","UTC","USGS","15484000",2.91084,"A","UTC"
"13",2022-05-07 02:45:00,2022-05-07 10:45:00,"USGS","15484000",160.555004955401,"A","UTC","USGS","15484000",2.91084,"A","UTC"
"14",2022-05-07 03:00:00,2022-05-07 11:00:00,"USGS","15484000",158.856010193969,"A","UTC","USGS","15484000",2.901696,"A","UTC"
"15",2022-05-07 03:15:00,2022-05-07 11:15:00,"USGS","15484000",159.988673368257,"A","UTC","USGS","15484000",2.907792,"A","UTC"
"16",2022-05-07 03:30:00,2022-05-07 11:30:00,"USGS","15484000",158.289678606824,"A","UTC","USGS","15484000",2.898648,"A","UTC"
"17",2022-05-07 03:45:00,2022-05-07 11:45:00,"USGS","15484000",159.422341781113,"A","UTC","USGS","15484000",2.904744,"A","UTC"
"18",2022-05-07 04:00:00,2022-05-07 12:00:00,"USGS","15484000",158.289678606824,"A","UTC","USGS","15484000",2.898648,"A","UTC"
"19",2022-05-07 04:15:00,2022-05-07 12:15:00,"USGS","15484000",159.422341781113,"A","UTC","USGS","15484000",2.904744,"A","UTC"
"20",2022-05-07 04:30:00,2022-05-07 12:30:00,"USGS","15484000",159.422341781113,"A","UTC","USGS","15484000",2.904744,"A","UTC"
"21",2022-05-07 04:45:00,2022-05-07 12:45:00,"USGS","15484000",161.121336542546,"A","UTC","USGS","15484000",2.913888,"A","UTC"
"22",2022-05-07 05:00:00,2022-05-07 13:00:00,"USGS","15484000",160.555004955401,"A","UTC","USGS","15484000",2.91084,"A","UTC"
"23",2022-05-07 05:15:00,2022-05-07 13:15:00,"USGS","15484000",159.988673368257,"A","UTC","USGS","15484000",2.907792,"A","UTC"
"24",2022-05-07 05:30:00,2022-05-07 13:30:00,"USGS","15484000",157.72334701968,"A","UTC","USGS","15484000",2.8956,"A","UTC"
